r5738309;Jan;Janssens;r5738309@ucll.be;0489937375
r0849473;Frieda;Boemel;r0849473@ucll.be;0746391746
r3740261;Jef;Vermeulen;r3740261@ucll.be;0947164739
r6830472;Sammy;Visjes;r6830472@ucll.be;0736164738
r9373632;Franky;Friemel;r9373632@ucll.be;0761846381
r5730582;Petra;Peeters;r5730582@ucll.be;057384518
r0174936;Patrick;Patanegro;r0174936@ucll.be;0374658914
r9473927;Timmy;Toep;r9473927@ucll.be;0573618371
r8373823;Mia;Moefelmond;r8373823@ucll.be;0479812600
r3810593;Anny;Armloos;r3810593@ucll.be;0983472194
